grade,dia_min_in,dia_max_in,Sy_ksi,Su_ksi,allowable_S_ksi_by_tempF,missing_flags
A193_B7,0.0,2.5,105,125,100-550: 25.0; 600: 23.6; 650: 21.0; 700: 16.3; 750: 12.5,
A193_B7,2.501,4.0,105,125,100-550: 23.0; 600: 22.2; 650: 20.0; 700: 16.3; 750: 12.5,
A193_B7,2.625,4.0,95,115,100-550: 23.0; 600: 22.2; 650: 20.0; 700: 16.3; 750: 12.5,
A193_B7,4.001,7.0,105,125,100-600: 18.8; 650: 18.0; 700: 16.3; 750: 12.5,
A193_B7,4.125,7.0,75,100,100-600: 18.8; 650: 18.0; 700: 16.3; 750: 12.5,
A193_B16,0.0,2.5,105,125,NO_ALLOWABLE_DATA,NO_ALLOWABLE_DATA
A193_B16,2.501,4.0,105,125,100-900: 18.8; 950: 17.7; 1000: 17.3,
A193_B16,2.625,4.0,95,110,100-900: 18.8; 950: 17.7; 1000: 17.3,
A193_B16,4.001,8.0,105,125,100: 18.8; 150: 16.7; 200: 15.0; 250: 13.8; 300: 12.9; 350: 12.1; 400: 12.0; 450: 11.8; 500: 11.5; 550: 11.2; 600: 11.0; 650: 10.8,
A193_B16,4.125,7.0,85,100,100: 18.8; 150: 16.7; 200: 15.0; 250: 13.8; 300: 12.9; 350: 12.1; 400: 12.0; 450: 11.8; 500: 11.5; 550: 11.2; 600: 11.0; 650: 10.8,
A193_B8_Class1_304,0.0,999.0,30,75,NO_ALLOWABLE_DATA,NO_ALLOWABLE_DATA
A193_B8M_Class1_316,0.0,999.0,30,75,100: 18.8; 150: 17.7; 200: 15.6; 250: 14.3; 300: 13.3; 350: 12.6; 400: 12.3; 450: 12.1; 500: 11.9; 550: 11.7; 600: 11.6; 650: 11.5; 950: 11.4; 1000: 11.3,
A320_L7,0.0,2.5,105,125,100-550: 25.0; 600: 23.6; 650: 21.0,
A193_B7M,0.0,2.5,80,100,100-600: 20.0; 650: 18.5; 700: 16.3; 750: 12.5,
A193_B7M,0.0,4.0,80,100,NO_ALLOWABLE_DATA,NO_ALLOWABLE_DATA
A193_B7M,4.125,7.0,75,100,NO_ALLOWABLE_DATA,NO_ALLOWABLE_DATA
A320_L7M,0.0,2.5,80,100,100-600: 20.0; 650: 18.5; 700: 16.3; 750: 12.5,
A453_660_ClassA,0.0,999.0,PLACEHOLDER_ksi_from_spec,PLACEHOLDER_ksi_from_spec,950: 21.3; 1000: 21.3,Sy_placeholder;Su_placeholder
A453_660_ClassB,0.0,999.0,PLACEHOLDER_ksi_from_spec,PLACEHOLDER_ksi_from_spec,950: 21.3; 1000: 21.3,Sy_placeholder;Su_placeholder
A453_660_ClassC,0.0,999.0,PLACEHOLDER_ksi_from_spec,PLACEHOLDER_ksi_from_spec,NO_ALLOWABLE_DATA,Sy_placeholder;Su_placeholder;NO_ALLOWABLE_DATA
A453_660_ClassD,0.0,999.0,PLACEHOLDER_ksi_from_spec,PLACEHOLDER_ksi_from_spec,NO_ALLOWABLE_DATA,Sy_placeholder;Su_placeholder;NO_ALLOWABLE_DATA
