spec,grade,class,grade_key,dia_min_in,dia_max_in,Sy_ksi,Su_ksi,max_temp_F,missing_flags,T100F,T150F,T200F,T250F,T300F,T350F,T400F,T450F,T500F,T550F,T600F,T650F,T700F,T750F,T950F,T1000F,T1050F,T1100F,T1150F,T1200F,T1250F,T1300F,T1350F,T1400F,T1450F,T1500F
A/SA-193,B7,,A193_B7,0.0,2.5,105.0,125.0,1000,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.6,21.0,16.3,12.5,8.5,4.5,,,,,,,,,,
A/SA-193,B7,,A193_B7,2.501,4.0,95.0,115.0,1000,,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,22.2,20.0,16.3,12.5,8.5,4.5,,,,,,,,,,
A/SA-193,B7,,A193_B7,4.001,7.0,75.0,100.0,1000,,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.0,16.3,12.5,8.5,4.5,,,,,,,,,,
A/SA-193,B16,,A193_B16,0.0,2.5,105.0,125.0,1100,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.5,20.5,16.0,11.0,6.3,2.8,,,,,,,,
A/SA-193,B16,,A193_B16,2.501,4.0,95.0,110.0,1100,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,18.5,NOT_AVAILABLE,15.3,11.0,6.3,2.8,,,,,,,,
A/SA-193,B16,,A193_B16,4.001,8.0,85.0,100.0,1100,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.8,16.7,14.3,11.0,6.3,2.8,,,,,,,,
A/SA-193,B8,Class 1 (304),A193_B8_Class1_304,0.0,1000000000.0,30.0,75.0,1500,,18.8,16.7,15.0,13.8,12.9,12.1,12.0,11.8,11.5,11.2,11.0,10.8,NOT_AVAILABLE,NOT_AVAILABLE,10.6,10.4,10.1,9.8,7.7,6.0,4.7,3.7,2.9,2.3,1.8,1.4
A/SA-193,B8M,Class 1 (316),A193_B8M_Class1_316,0.0,1000000000.0,30.0,75.0,1500,,18.8,17.7,15.6,14.3,13.3,12.6,12.3,12.1,11.9,11.7,11.6,11.5,NOT_AVAILABLE,NOT_AVAILABLE,11.4,11.3,11.2,11.0,9.8,7.4,5.5,4.1,3.1,2.3,1.7,1.3
A/SA-320,L7,,A320_L7,0.0,2.5,105.0,125.0,650,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.6,21.0,,,,,,,,,,,,,,
A/SA-193,B7M,,A193_B7M,0.0,2.5,80.0,100.0,1000,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.5,16.3,12.5,8.5,4.5,,,,,,,,,,
A/SA-320,L7M,,A320_L7M,0.0,2.5,80.0,100.0,1000,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.5,16.3,12.5,8.5,4.5,,,,,,,,,,
A/SA-453,660,Class A,A453_660_ClassA,0.0,1000000000.0,85.0,130.0,1000,,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,NOT_AVAILABLE,NOT_AVAILABLE,21.3,21.3,,,,,,,,,,
A/SA-453,660,Class B,A453_660_ClassB,0.0,1000000000.0,85.0,130.0,1000,,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,NOT_AVAILABLE,NOT_AVAILABLE,21.3,21.3,,,,,,,,,,
A/SA-453,660,Class C,A453_660_ClassC,0.0,999.0,PLACEHOLDER_ksi_from_spec,PLACEHOLDER_ksi_from_spec,,Sy_placeholder;Su_placeholder;NO_ALLOWABLE_DATA,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE
A/SA-453,660,Class D,A453_660_ClassD,0.0,999.0,PLACEHOLDER_ksi_from_spec,PLACEHOLDER_ksi_from_spec,,Sy_placeholder;Su_placeholder;NO_ALLOWABLE_DATA,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE
