NOTE: Temps are in 50F steps. For inputs that are not a 50F increment, round UP to the next 50F.

spec     | grade | class         | grade_key           | dia_min_in | dia_max_in   | Sy_ksi                    | Su_ksi                    | max_temp_F | missing_flags                                   | T100F         | T150F         | T200F         | T250F         | T300F         | T350F         | T400F         | T450F         | T500F         | T550F        
---------+-------+---------------+---------------------+------------+--------------+---------------------------+---------------------------+------------+-------------------------------------------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+--------------
A/SA-193 | B7    |               | A193_B7             | 0.0        | 2.5          | 105.0                     | 125.0                     | 1000       |                                                 | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0         
A/SA-193 | B7    |               | A193_B7             | 2.501      | 4.0          | 95.0                      | 115.0                     | 1000       |                                                 | 23.0          | 23.0          | 23.0          | 23.0          | 23.0          | 23.0          | 23.0          | 23.0          | 23.0          | 23.0         
A/SA-193 | B7    |               | A193_B7             | 4.001      | 7.0          | 75.0                      | 100.0                     | 1000       |                                                 | 18.8          | 18.8          | 18.8          | 18.8          | 18.8          | 18.8          | 18.8          | 18.8          | 18.8          | 18.8         
A/SA-193 | B16   |               | A193_B16            | 0.0        | 2.5          | 105.0                     | 125.0                     | 1100       |                                                 | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0         
A/SA-193 | B16   |               | A193_B16            | 2.501      | 4.0          | 95.0                      | 110.0                     | 1100       |                                                 | 22.0          | 22.0          | 22.0          | 22.0          | 22.0          | 22.0          | 22.0          | 22.0          | 22.0          | 22.0         
A/SA-193 | B16   |               | A193_B16            | 4.001      | 8.0          | 85.0                      | 100.0                     | 1100       |                                                 | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0         
A/SA-193 | B8    | Class 1 (304) | A193_B8_Class1_304  | 0.0        | 1000000000.0 | 30.0                      | 75.0                      | 1500       |                                                 | 18.8          | 16.7          | 15.0          | 13.8          | 12.9          | 12.1          | 12.0          | 11.8          | 11.5          | 11.2         
A/SA-193 | B8M   | Class 1 (316) | A193_B8M_Class1_316 | 0.0        | 1000000000.0 | 30.0                      | 75.0                      | 1500       |                                                 | 18.8          | 17.7          | 15.6          | 14.3          | 13.3          | 12.6          | 12.3          | 12.1          | 11.9          | 11.7         
A/SA-320 | L7    |               | A320_L7             | 0.0        | 2.5          | 105.0                     | 125.0                     | 650        |                                                 | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0          | 25.0         
A/SA-193 | B7M   |               | A193_B7M            | 0.0        | 2.5          | 80.0                      | 100.0                     | 1000       |                                                 | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0         
A/SA-320 | L7M   |               | A320_L7M            | 0.0        | 2.5          | 80.0                      | 100.0                     | 1000       |                                                 | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0          | 20.0         
A/SA-453 | 660   | Class A       | A453_660_ClassA     | 0.0        | 1000000000.0 | 85.0                      | 130.0                     | 1000       |                                                 | 21.3          | 21.3          | 21.3          | 21.3          | 21.3          | 21.3          | 21.3          | 21.3          | 21.3          | 21.3         
A/SA-453 | 660   | Class B       | A453_660_ClassB     | 0.0        | 1000000000.0 | 85.0                      | 130.0                     | 1000       |                                                 | 21.3          | 21.3          | 21.3          | 21.3          | 21.3          | 21.3          | 21.3          | 21.3          | 21.3          | 21.3         
A/SA-453 | 660   | Class C       | A453_660_ClassC     | 0.0        | 999.0        | PLACEHOLDER_ksi_from_spec | PLACEHOLDER_ksi_from_spec | None       | Sy_placeholder;Su_placeholder;NO_ALLOWABLE_DATA | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE
A/SA-453 | 660   | Class D       | A453_660_ClassD     | 0.0        | 999.0        | PLACEHOLDER_ksi_from_spec | PLACEHOLDER_ksi_from_spec | None       | Sy_placeholder;Su_placeholder;NO_ALLOWABLE_DATA | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE | NOT_AVAILABLE
