grade_key,dia_min_in,dia_max_in,temp_min_F,temp_max_F,S_ksi,missing
A193_B7,0.0,2.5,100,550,25.0,
A193_B7,0.0,2.5,600,600,23.6,
A193_B7,0.0,2.5,650,650,21.0,
A193_B7,0.0,2.5,700,700,16.3,
A193_B7,0.0,2.5,750,750,12.5,
A193_B7,2.501,4.0,100,550,23.0,
A193_B7,2.501,4.0,600,600,22.2,
A193_B7,2.501,4.0,650,650,20.0,
A193_B7,2.501,4.0,700,700,16.3,
A193_B7,2.501,4.0,750,750,12.5,
A193_B7,4.001,7.0,100,600,18.8,
A193_B7,4.001,7.0,650,650,18.0,
A193_B7,4.001,7.0,700,700,16.3,
A193_B7,4.001,7.0,750,750,12.5,
A193_B16,2.501,4.0,100,900,18.8,
A193_B16,2.501,4.0,950,950,17.7,
A193_B16,2.501,4.0,1000,1000,17.3,
A193_B16,4.001,8.0,100,100,18.8,
A193_B16,4.001,8.0,150,150,16.7,
A193_B16,4.001,8.0,200,200,15.0,
A193_B16,4.001,8.0,250,250,13.8,
A193_B16,4.001,8.0,300,300,12.9,
A193_B16,4.001,8.0,350,350,12.1,
A193_B16,4.001,8.0,400,400,12.0,
A193_B16,4.001,8.0,450,450,11.8,
A193_B16,4.001,8.0,500,500,11.5,
A193_B16,4.001,8.0,550,550,11.2,
A193_B16,4.001,8.0,600,600,11.0,
A193_B16,4.001,8.0,650,650,10.8,
A193_B8_Class1_304,,,,,,NO_ALLOWABLE_DATA
A193_B8M_Class1_316,0.0,999.0,100,100,18.8,
A193_B8M_Class1_316,0.0,999.0,150,150,17.7,
A193_B8M_Class1_316,0.0,999.0,200,200,15.6,
A193_B8M_Class1_316,0.0,999.0,250,250,14.3,
A193_B8M_Class1_316,0.0,999.0,300,300,13.3,
A193_B8M_Class1_316,0.0,999.0,350,350,12.6,
A193_B8M_Class1_316,0.0,999.0,400,400,12.3,
A193_B8M_Class1_316,0.0,999.0,450,450,12.1,
A193_B8M_Class1_316,0.0,999.0,500,500,11.9,
A193_B8M_Class1_316,0.0,999.0,550,550,11.7,
A193_B8M_Class1_316,0.0,999.0,600,600,11.6,
A193_B8M_Class1_316,0.0,999.0,650,650,11.5,
A193_B8M_Class1_316,0.0,999.0,950,950,11.4,
A193_B8M_Class1_316,0.0,999.0,1000,1000,11.3,
A320_L7,0.0,2.5,100,550,25.0,
A320_L7,0.0,2.5,600,600,23.6,
A320_L7,0.0,2.5,650,650,21.0,
A193_B7M,0.0,2.5,100,600,20.0,
A193_B7M,0.0,2.5,650,650,18.5,
A193_B7M,0.0,2.5,700,700,16.3,
A193_B7M,0.0,2.5,750,750,12.5,
A320_L7M,0.0,2.5,100,600,20.0,
A320_L7M,0.0,2.5,650,650,18.5,
A320_L7M,0.0,2.5,700,700,16.3,
A320_L7M,0.0,2.5,750,750,12.5,
A453_660_ClassA,0.0,999.0,950,950,21.3,
A453_660_ClassA,0.0,999.0,1000,1000,21.3,
A453_660_ClassB,0.0,999.0,950,950,21.3,
A453_660_ClassB,0.0,999.0,1000,1000,21.3,
A453_660_ClassC,,,,,,NO_ALLOWABLE_DATA
A453_660_ClassD,,,,,,NO_ALLOWABLE_DATA
