scenario,grade,diameter_in,thread_series,tpi,As_in2,working_temp_F,used_temp_F,Sy_or_allowable_ksi,pct_yield,bolt_load_F_lbf,lube,K,target_torque_ftlb,pass1_30pct_ftlb,pass2_60pct_ftlb,pass3_100pct_ftlb
1,A193_B7,1,8UN,8,0.606,600,600,23.6,0.5,7150.8,Dry,0.27,160.893,48.2679,96.5358,160.893
2,A193_B7,1,8UN,8,0.606,650,650,21.0,0.45,5726.7,Moly paste,0.11,52.49475,15.748425000000001,31.496850000000002,52.49475
3,A193_B7,1-1/2,8UN,8,1.492,700,700,16.3,0.5,12159.8,Never-Seez Regular,0.13,197.59675000000001,59.279025000000004,118.55805000000001,197.59675000000001
4,A193_B7,2,8UN,8,2.77,750,750,12.5,0.4,13850.0,Copper/Nickel anti-seize,0.15,346.25,103.875,207.75,346.25
5,A193_B7,1/2,UNC,13,0.1419,550,550,25.0,0.35,1241.625,Dry,0.27,13.968281250000002,4.1904843750000005,8.380968750000001,13.968281250000002
6,A193_B16,2-1/2,8UN,8,4.44,900,,105,0.5,233100.00000000003,Dry,0.27,13111.875000000002,3933.5625000000005,7867.125000000001,13111.875000000002
7,A193_B16,3,8UN,8,6.51,650,900,18.8,0.55,67313.40000000001,High-temp blends,0.17,2860.8195,858.24585,1716.4917,2860.8195
8,A193_B16,4,8UN,8,11.81,500,900,18.8,0.45,99912.6,Moly paste,0.11,3663.462,1099.0385999999999,2198.0771999999997,3663.462
9,A193_B7M,1,8UN,8,0.606,650,650,18.5,0.5,5605.5,Dry,0.27,126.12375000000002,37.837125,75.67425,126.12375000000002
10,A193_B7M,2,8UN,8,2.77,700,700,16.3,0.45,20317.95,Never-Seez Regular,0.13,440.22225000000003,132.066675,264.13335,440.22225000000003
11,A320_L7,1,8UN,8,0.606,650,650,21.0,0.5,6363.0,Copper/Nickel anti-seize,0.15,79.5375,23.86125,47.7225,79.5375
12,A320_L7,2,8UN,8,2.77,550,550,25.0,0.4,27700.0,Dry,0.27,1246.5000000000002,373.95000000000005,747.9000000000001,1246.5000000000002
13,A320_L7M,1,8UN,8,0.606,650,650,18.5,0.5,5605.5,High-temp blends,0.17,79.41125000000001,23.823375000000002,47.646750000000004,79.41125000000001
14,A320_L7M,2,8UN,8,2.77,700,700,16.3,0.45,20317.95,Moly paste,0.11,372.49575000000004,111.74872500000001,223.49745000000001,372.49575000000004
15,A193_B8_Class1_304,1,8UN,8,0.606,300,,30,0.5,9090.0,Dry,0.27,204.525,61.3575,122.715,204.525
16,A193_B8M_Class1_316,1,8UN,8,0.606,650,650,11.5,0.5,3484.5,Dry,0.27,78.40125,23.520375,47.04075,78.40125
17,A193_B8M_Class1_316,2,8UN,8,2.77,1000,1000,11.3,0.45,14085.45,Copper/Nickel anti-seize,0.15,352.13625,105.64087500000001,211.28175000000002,352.13625
18,A453_660_ClassA,1,8UN,8,0.606,950,950,21.3,0.5,6453.9,Dry,0.27,145.21275,43.563825,87.12765,145.21275
19,A453_660_ClassB,1,8UN,8,0.606,1000,1000,21.3,0.5,6453.9,Moly paste,0.11,59.16075,17.748224999999998,35.496449999999996,59.16075
20,A453_660_ClassC,1,8UN,8,0.606,1000,,,0.5,,High-temp blends,0.17,,,,
